country,trackID,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Austrialia,78,I'll Find You (Live),Air Supply Live,Air Supply,3/10/2014,352454,0,0.412,0.877,0.412,0.235,2.80E-06,0.971,-14.066,0.0314,90.872,4
Austrialia,79,Two Less Lonely People in the World (Live),Air Supply Live,Air Supply,3/10/2014,214852,0,0.478,0.844,0.478,0.46,0,0.93,-11.701,0.0657,148.216,4
Austrialia,80,The One That You Love (Live),Air Supply Live,Air Supply,3/10/2014,470736,0,0.279,0.505,0.279,0.618,7.58E-06,0.149,-8.006,0.0462,84.176,4
Austrialia,81,Lost in Love (Live),Air Supply Live,Air Supply,3/10/2014,283073,0,0.496,0.345,0.496,0.729,0.000202,0.792,-7.466,0.0302,109.753,4
Austrialia,82,Every Woman in the World (Live),Air Supply Live,Air Supply,3/10/2014,221215,0,0.425,0.281,0.425,0.72,0,0.798,-6.561,0.046,150.901,4
Austrialia,83,Making Love out of Nothing at All (Live),Air Supply Live,Air Supply,3/10/2014,518267,0,0.472,0.304,0.472,0.707,0,0.697,-6.867,0.0455,145.735,4
Austrialia,84,All out of Love (Live),Air Supply Live,Air Supply,3/10/2014,290410,0,0.445,0.37,0.445,0.634,0,0.931,-7.029,0.0288,100.229,4
Austrialia,85,Goodnight (Live),Air Supply Live,Air Supply,3/10/2014,170224,0,0.404,0.862,0.404,0.0715,1.20E-06,0.967,-17.57,0.0417,125.939,4
Austrialia,86,Making Love out of Nothing at All - Live,A Night of Love Live,Air Supply,1/1/2013,518368,14,0.473,0.297,0.473,0.708,0,0.691,-6.941,0.0463,145.864,4
Austrialia,87,All Out of Love - Live,A Night of Love Live,Air Supply,1/1/2013,290739,13,0.45,0.409,0.45,0.602,0,0.778,-7.078,0.0282,100.044,4
Austrialia,88,Lost in Love - Live,A Night of Love Live,Air Supply,1/1/2013,283222,12,0.487,0.351,0.487,0.725,0.000346,0.921,-7.558,0.0302,109.722,4
Austrialia,89,Even the Nights Are Better - Live,A Night of Love Live,Air Supply,1/1/2013,260460,12,0.692,0.356,0.692,0.777,0,0.758,-6.714,0.0411,115.804,4
Austrialia,90,Every Woman in the World - Live,A Night of Love Live,Air Supply,1/1/2013,221490,11,0.375,0.3,0.375,0.702,0,0.839,-7.039,0.0503,75.45,4
Austrialia,91,Here I Am - Live,A Night of Love Live,Air Supply,1/1/2013,297922,12,0.455,0.692,0.455,0.503,0,0.445,-7.424,0.037,132.284,4
Austrialia,92,Now and Forever - Live,A Night of Love Live,Air Supply,1/1/2013,228586,9,0.427,0.852,0.427,0.318,0,0.698,-8.52,0.2,199.665,3
Austrialia,93,The One That You Love - Live,A Night of Love Live,Air Supply,1/1/2013,470979,10,0.169,0.565,0.169,0.587,6.40E-06,0.191,-8.456,0.0506,71.204,3
Austrialia,94,Sweet Dreams - Live,A Night of Love Live,Air Supply,1/1/2013,149504,8,0.539,0.0398,0.539,0.803,1.14E-05,0.396,-6.868,0.0425,121.118,4
Austrialia,95,Two Less Lonely People in the World - Live,A Night of Love Live,Air Supply,1/1/2013,215099,9,0.471,0.851,0.471,0.514,0,0.957,-8.786,0.0447,73.945,4
Austrialia,96,Chances - Live,A Night of Love Live,Air Supply,1/1/2013,257922,9,0.59,0.406,0.59,0.591,6.89E-06,0.259,-7.503,0.0276,105.915,4
Austrialia,97,I'll Find You - Live,A Night of Love Live,Air Supply,1/1/2013,352691,8,0.429,0.87,0.429,0.296,5.75E-06,0.953,-10.245,0.0306,89.385,4
Austrialia,98,Someone - Live,A Night of Love Live,Air Supply,1/1/2013,298876,8,0.308,0.674,0.308,0.535,2.59E-05,0.432,-8.418,0.0424,95.506,4
Austrialia,99,Goodnight - Live,A Night of Love Live,Air Supply,1/1/2013,170341,8,0.414,0.86,0.414,0.169,3.81E-06,0.969,-12.168,0.0388,128.355,4
Austrialia,0,Intro - Divide One,Pulse transit,Ashley Davies,2018,83360,0,0.73,0.332,0.73,0.432,0.82,0.368,-15.743,0.0344,119.932,4
Austrialia,1,Bring into focus,Pulse transit,Ashley Davies,2018,179986,0,0.752,0.00632,0.752,0.566,0.902,0.106,-10.158,0.0293,120.041,4
Austrialia,2,Decoke,Pulse transit,Ashley Davies,2018,236346,0,0.761,0.604,0.761,0.251,0.65,0.0798,-13.786,0.0651,120.13,4
Austrialia,3,179 on the Hume,Pulse transit,Ashley Davies,2018,287093,0,0.611,0.0572,0.611,0.784,0.763,0.664,-12.909,0.0564,119.945,4
Austrialia,4,In the forest,Pulse transit,Ashley Davies,2018,221973,0,0.632,0.668,0.632,0.182,0.951,0.106,-14.954,0.0399,120.04,4
